,index,id,conversation_id,created_at,date,user_id,username,name,tweet,text_compound,text_pos,text_neu,text_neg,text_sent
0,452,1461942451053252612,1461809183205036035,2021-11-20 10:20:16 Arabian Standard Time,2021-11-20,44196397,elonmusk,Elon Musk,WSBChairman Bitcoin cures cancer,-0.6597,0.0,0.405,0.595,-1
1,723,1452334458066149377,1452313323261861891,2021-10-24 22:01:32 Arabian Standard Time,2021-10-24,44196397,elonmusk,Elon Musk,Filasophical ShibaInuHodler Out curiosity I acquired ascii hash strings called Bitcoin Ethereum amp Doge Thats it As Ive said before dont bet farm crypto True value building products amp providing services fellow human beings not money form,0.6369,0.133,0.867,0.0,1
2,726,1452332044743323654,1451929526284562436,2021-10-24 21:51:57 Arabian Standard Time,2021-10-24,44196397,elonmusk,Elon Musk,itsALLrisky TeslaGong mishaboar DogecoinFdn Possibly Bitcoin conceived time relatively low bandwidth amp high latency If continue improve substantially reach point no second layer needed,-0.0697,0.149,0.693,0.158,-1
3,1468,1420529868404518913,1420267443436462082,2021-07-29 03:41:27 Arabian Standard Time,2021-07-29,44196397,elonmusk,Elon Musk,heydave We dont many Bitcoin but its close,0.0,0.0,1.0,0.0,0
4,1557,1417207016519454724,1417144324068974594,2021-07-19 23:37:37 Arabian Standard Time,2021-07-19,44196397,elonmusk,Elon Musk,jack BitcoinMagazine CathieDWood Sure I ton,0.3182,0.365,0.635,0.0,1
5,1558,1417204066552205332,1417144324068974594,2021-07-19 23:25:54 Arabian Standard Time,2021-07-19,44196397,elonmusk,Elon Musk,BitcoinMagazine jack CathieDWood During talk sing cover The Final Countdown Europe httpstcoYUXiWdhd,0.0,0.0,1.0,0.0,0
6,1849,1408246534093918210,1408246196603346947,2021-06-25 06:11:52 Arabian Standard Time,2021-06-25,44196397,elonmusk,Elon Musk,Thats not funny  Bitcoin maxis,-0.3412,0.0,0.624,0.376,-1
7,1850,1408246196603346947,1408246196603346947,2021-06-25 06:10:31 Arabian Standard Time,2021-06-25,44196397,elonmusk,Elon Musk,How many Bitcoin maxis take screw lightbulb,-0.1027,0.0,0.811,0.189,-1
8,1852,1408244494567456769,1408102135040970759,2021-06-25 06:03:46 Arabian Standard Time,2021-06-25,44196397,elonmusk,Elon Musk,jack Oh right  Bitcoin haha,0.4588,0.429,0.571,0.0,1
9,1885,1405482221666852871,1405479081655734274,2021-06-17 15:07:28 Arabian Standard Time,2021-06-17,44196397,elonmusk,Elon Musk,BitcoinMagazine jespow Based data,0.0,0.0,1.0,0.0,0
10,1917,1404132183254523905,1404045922674302982,2021-06-13 21:42:54 Arabian Standard Time,2021-06-13,44196397,elonmusk,Elon Musk,Cointelegraph This inaccurate Tesla sold holdings confirm BTC could liquidated easily without moving market When theres confirmation reasonable  clean energy usage miners positive future trend Tesla resume allowing Bitcoin transactions,0.8689,0.293,0.707,0.0,1
11,1975,1401091921746006017,1400560049358094340,2021-06-05 12:21:59 Arabian Standard Time,2021-06-05,44196397,elonmusk,Elon Musk,lexfridman VitalikButerin ethereum Bitcoin dogecoin ShibainuCoin IOHKCharles Cardano chainlink xPolygon I pretty much agree Vitalik,0.6908,0.322,0.678,0.0,1
12,1991,1400620080090730501,1400620080090730501,2021-06-04 05:07:04 Arabian Standard Time,2021-06-04,44196397,elonmusk,Elon Musk,Bitcoin  httpstcolNnEfMdtJf,0.0,0.0,1.0,0.0,0
13,2063,1396914548167233537,1396914548167233537,2021-05-24 23:42:36 Arabian Standard Time,2021-05-24,44196397,elonmusk,Elon Musk,Spoke North American Bitcoin miners They committed publish current amp planned renewable usage amp ask miners WW so Potentially promising,0.6222,0.22,0.78,0.0,1
14,2079,1395472799020421120,1395448299792920576,2021-05-21 00:13:36 Arabian Standard Time,2021-05-21,44196397,elonmusk,Elon Musk,TeslaGong wintonARK Bitcoin hashing aka mining energy usage starting exceed mediumsized countries Almost impossible small hashers succeed without massive economies scale,0.6486,0.218,0.782,0.0,1
15,2114,1394170030741413888,1394051036462071808,2021-05-17 09:56:52 Arabian Standard Time,2021-05-17,44196397,elonmusk,Elon Musk,BTCArchive To clarify speculation Tesla not sold Bitcoin,0.0,0.0,1.0,0.0,0
16,2118,1393993975019749382,1393971202738302986,2021-05-16 22:17:17 Arabian Standard Time,2021-05-16,44196397,elonmusk,Elon Musk,ChainLinkGod PeterMcCormack Bitcoin actually highly centralized supermajority controlled handful big mining aka hashing companies A single coal mine Xinjiang flooded almost killing miners Bitcoin hash rate dropped  Sound decentralized you httpstcoOomyzGRNQ,-0.6258,0.0,0.876,0.124,-1
17,2119,1393991411524120576,1393960667372310535,2021-05-16 22:07:06 Arabian Standard Time,2021-05-16,44196397,elonmusk,Elon Musk,poisonouspinups michaelsaylor He wear outfit Halloween but Bitcoin tattooed high thighs,0.0,0.0,1.0,0.0,0
18,2141,1392602041025843203,1392602041025843203,2021-05-13 02:06:14 Arabian Standard Time,2021-05-13,44196397,elonmusk,Elon Musk,Tesla amp Bitcoin httpstcoYSswJmVZhP,0.0,0.0,1.0,0.0,0
19,2252,1386821144037236737,1386797551794499592,2021-04-27 03:15:01 Arabian Standard Time,2021-04-27,44196397,elonmusk,Elon Musk,stoolpresidente No not I not sold Bitcoin Tesla sold holdings essentially prove liquidity Bitcoin alternative holding cash balance sheet,-0.296,0.0,0.885,0.115,-1
20,2516,1374619672973221892,1374617643446063105,2021-03-24 11:10:43 Arabian Standard Time,2021-03-24,44196397,elonmusk,Elon Musk,Pay Bitcoin capability available outside US later year,-0.1027,0.0,0.833,0.167,-1
21,2517,1374619379929772034,1374617643446063105,2021-03-24 11:09:34 Arabian Standard Time,2021-03-24,44196397,elonmusk,Elon Musk,Tesla using internal amp open source software amp operates Bitcoin nodes directly Bitcoin paid Tesla retained Bitcoin not converted fiat currency,0.0258,0.052,0.948,0.0,0
22,2518,1374617643446063105,1374617643446063105,2021-03-24 11:02:40 Arabian Standard Time,2021-03-24,44196397,elonmusk,Elon Musk,You buy Tesla Bitcoin,0.0,0.0,1.0,0.0,0
23,2598,1370449101402353669,1370449101402353669,2021-03-12 22:58:22 Arabian Standard Time,2021-03-12,44196397,elonmusk,Elon Musk,BTC Bitcoin anagram TBCThe Boring Company What coincidence,-0.3182,0.0,0.753,0.247,-1
24,2764,1362600676174557186,1362582677199622145,2021-02-19 07:11:31 Arabian Standard Time,2021-02-19,44196397,elonmusk,Elon Musk,business To clear I not investor I engineer I dont even publicly traded stock besides Tesla However fiat currency negative real interest fool wouldnt look elsewhere Bitcoin almost bs fiat money The key word almost,-0.25,0.139,0.697,0.164,-1
25,2765,1362598034866118658,1362582677199622145,2021-02-19 07:01:02 Arabian Standard Time,2021-02-19,44196397,elonmusk,Elon Musk,business Teslas action not directly reflective opinion Having Bitcoin simply less dumb form liquidity cash adventurous enough SampP company,-0.1548,0.107,0.759,0.134,-1
26,65,1340588909974200321,1340588909974200321,1608456277000.0,2020-12-20 09:24:37,44196397,elonmusk,Elon Musk,Bitcoin almost bs fiat money,0.0,0.0,1.0,0.0,0
27,73,1340573003579617280,1340573003579617280,1608452485000.0,2020-12-20 08:21:25,44196397,elonmusk,Elon Musk,Bitcoin safe word,0.4404,0.592,0.408,0.0,1
28,283,1328458535340949505,1328428879334297600,1605564171000.0,2020-11-16 22:02:51,44196397,elonmusk,Elon Musk,MaisieWilliams  Toss bitcoin ur Witcher ,0.0,0.0,1.0,0.0,0
29,1999,1261429085999296512,1261393885638639616,1589583104000.0,2020-05-15 22:51:44,44196397,elonmusk,Elon Musk,jkrowling I still  Bitcoins btw,0.0,0.0,1.0,0.0,0
30,2000,1261416824459030529,1261393885638639616,1589580181000.0,2020-05-15 22:03:01,44196397,elonmusk,Elon Musk,jkrowling Pretty much although massive currency issuance govt central banks making Bitcoin Internet  money look solid comparison,0.5859,0.242,0.758,0.0,1
31,2263,1256353943765921792,1256239815256797184,1588373096000.0,2020-05-01 22:44:56,44196397,elonmusk,Elon Musk,Bitcoin How much anime Bitcoin httpstcoitqRslFNcb,0.0,0.0,1.0,0.0,0
32,2265,1256351293007736832,1256239815256797184,1588372464000.0,2020-05-01 22:34:24,44196397,elonmusk,Elon Musk,Bitcoin ,0.0,0.0,1.0,0.0,0
33,3297,1215528293266362368,1215526980449255424,1578639503000.0,2020-01-10 06:58:23,44196397,elonmusk,Elon Musk,bitcoinconf ,0.0,0.0,1.0,0.0,0
34,3298,1215526980449255424,1215526980449255424,1578639190000.0,2020-01-10 06:53:10,44196397,elonmusk,Elon Musk,Bitcoin not safe word,-0.3412,0.0,0.555,0.445,-1
35,6759,1054520588734058496,1054501056229588992,1540252275000.0,2018-10-22 23:51:15,44196397,elonmusk,Elon Musk,vicentes Grimezsz Wanna buy Bitcoin  httpstcoZbBJfuVq,0.0,0.0,1.0,0.0,0
36,3354,1054520588734058496,1054501056229588992,1540252275000.0,2018-10-22 23:51:15,44196397,elonmusk,Elon Musk,vicentes Grimezsz Wanna buy Bitcoin  httpstcoZbBJfuVq,0.0,0.0,1.0,0.0,0
37,494,1054520588734058496,1054501056229588992,1540252275000.0,2018-10-22 23:51:15,44196397,elonmusk,"Elon Musk, the 2nd",vicentes Grimezsz Wanna buy Bitcoin  httpstcoZbBJfuVq,0.0,0.0,1.0,0.0,0
